"","Sample_ID","Type","Fe_OC_pct","C_pct_init","Fe_OC_per_unit_sed","Flag","Experiment_sample_date","Rep","Experiment_treatment"
"1","aar1d23_3x","INITIAL",36.34182735728,3.944,256.637720854274,0,"23","1","Anoxic"
"2","aor2d34_3x","INITIAL",32.709896161899,3.934,230.404174576384,0,"34","2","Anoxic to oxic"
"3","expInitr2_3x","INITIAL",28.9486010016982,4.073,211.114864601463,0,"0","2","Day 0"
"4","oar3d34_3x","INITIAL",30.5986015898789,4.318,236.570746043146,0,"34","3","Oxic to anoxic"
"5","oor3d20_3x","INITIAL",27.0908666052059,4.346,210.809142822247,0,"20","3","Oxic"
"6","aar2d20","init",31.7566635205533,3.98,226.305319269118,2,"20","2","Anoxic"
"7","aar3d20","init",29.1775671403486,4.039,211.008404082127,2,"20","3","Anoxic"
"8","aar2d23","init",35.7651630582816,3.997,255.959457016923,1,"23","2","Anoxic"
"9","aar3d23","init",34.7800843193034,3.966,246.979076831437,1,"23","3","Anoxic"
"10","aor1d20","init",23.9319444166691,3.891,166.730878648629,2,"20","1","Anoxic to oxic"
"11","aor1d23","init",27.0054776726789,4.172,201.73115998284,2,"23","1","Anoxic to oxic"
"12","aor2d23","init",29.7421445417933,4.032,214.718579753824,1,"23","2","Anoxic to oxic"
"13","aor3d23","init",34.1070801209401,4.452,271.879535717861,1,"23","3","Anoxic to oxic"
"14","aor1d34","init",27.4348146417913,3.96,194.524379555047,2,"34","1","Anoxic to oxic"
"15","aor3d34","init",31.0771874176381,4.05,225.358297298898,2,"34","3","Anoxic to oxic"
"16","oar2d20","init",26.3786517223923,4.384,207.061788990094,2,"20","2","Oxic to anoxic"
"17","oar1d23","init",17.1084780479692,4.278,131.047572227775,1,"23","1","Oxic to anoxic"
"18","oar2d23","init",17.3544627274704,4.924,153.005146768244,1,"23","2","Oxic to anoxic"
"19","oar3d23","init",31.1243491685307,4.076,227.149234039268,3,"23","3","Oxic to anoxic"
"20","oor1d23","init",30.3893409113169,4.465,242.951490007216,1,"23","1","Oxic"
"21","oor3d23","init",18.123479775719,4.901,159.038808201967,1,"23","3","Oxic"
"22","oar1d20","init",31.692202461618,4.42,250.813849382904,NA,"20","1","Oxic to anoxic"
"23","oar3d20","init",35.632767788053,4.786,305.35080865465,NA,"20","3","Oxic to anoxic"
"24","oar2d34","init",29.7429582269914,4.944,263.29308052685,NA,"34","2","Oxic to anoxic"
"25","oor1d20","init",29.5995864313003,4.268,226.197018601235,NA,"20","1","Oxic"
"26","oor2d23","init",31.6601349834261,4.784,271.194423922489,NA,"23","2","Oxic"
"27","expInitr1","init",32.9765393124576,3.995,235.88410842125,NA,"0","1","Day 0"
"28","expInitr3","init",35.9362692202891,3.95,254.15982707277,NA,"0","3","Day 0"
"29","aar1d20_","con",37.1481675094629,NA,268.384701702207,NA,"20","1","Anoxic"
"30","aar1d20_","ext",NA,NA,NA,NA,"20","1","Anoxic"
"31","aar1d20_","init",NA,4.035,NA,NA,"20","1","Anoxic"
"32","aor2d20_","con",34.5781618287735,NA,256.132239007406,NA,"20","2","Anoxic to oxic"
"33","aor2d20_","ext",NA,NA,NA,NA,"20","2","Anoxic to oxic"
"34","aor2d20_","init",NA,4.137,NA,NA,"20","2","Anoxic to oxic"
"35","aor3d20_","con",30.9927075586776,NA,225.134135300904,NA,"20","3","Anoxic to oxic"
"36","aor3d20_","ext",NA,NA,NA,NA,"20","3","Anoxic to oxic"
"37","aor3d20_","init",NA,4.057,NA,NA,"20","3","Anoxic to oxic"
"38","oor2d20_","con",31.7194084842033,NA,263.807793033347,NA,"20","2","Oxic"
"39","oor2d20_","ext",NA,NA,NA,NA,"20","2","Oxic"
"40","oor2d20_","init",NA,4.645,NA,NA,"20","2","Oxic"
